VENTA;PROYECTO;MONEDA;ESTADO ACTUAL;ESTADO CALCULADO;SALDO COMERCIAL;SALDO CONTABLE;OBS. DIF. SALDOS;DIF. SALDOS
6783;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;23875.98;23875.98;OK;0
6791;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;10003.2;10003.2;OK;0
6792;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;0;5140.23;ERROR;-5140.23
6899;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;0;0;OK;0
6936;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;36515.07;36515.07;OK;0
6937;CIUDAD DE DIOS NORTE;USD;Pendiente;Pendiente;8551.52;8551.52;OK;0
7164;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;0;1499.77;ERROR;-1499.77
7190;CIUDAD DE DIOS NORTE;USD;Fusionado;Pendiente;6120.77;6120.77;OK;0
7191;CIUDAD DE DIOS NORTE;USD;Fusionado;Pendiente;6815.64;6815.64;OK;0
7192;CIUDAD DE DIOS NORTE;USD;Pendiente;Pendiente;9007.79;9007.79;OK;0
7193;CIUDAD DE DIOS NORTE;USD;Fusionado;Pendiente;7773.53;7773.53;OK;0
7194;CIUDAD DE DIOS NORTE;USD;Fusionado;Pendiente;7018.4;7018.4;OK;0
7195;CIUDAD DE DIOS NORTE;USD;Pendiente;Pendiente;8712.43;8712.43;OK;0
7210;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;52589.02;52589.02;OK;0
7211;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;52589.02;52589.02;OK;0
7215;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;51549.05;51549.05;OK;0
7216;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;49724.25;49724.25;OK;0
7217;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;49724.25;49724.25;OK;0
