"VENTA";"PROYECTO";"MONEDA";"ESTADO ACTUAL";"ESTADO CALCULADO";"SALDO COMERCIAL";"SALDO CONTABLE";"DIF. SALDOS"
"8828";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"8055.26";"8055.26";"OK";""
"8829";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"13652.46";"13652.46";"OK";""
"8830";"OKINAWA";"USD";"Pendiente";"Pendiente";"5732.98";"5732.98";"OK";""
"8831";"OKINAWA";"USD";"Pendiente";"Pendiente";"5732.98";"5732.98";"OK";""
"8832";"OKINAWA";"USD";"Pendiente";"Pendiente";"6860.51";"6860.51";"OK";""
"8833";"OKINAWA";"USD";"Retenido";"Pendiente";"6272.34";"6272.34";"OK";""
"8834";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"9334.35";"9334.35";"OK";""
"8835";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"9287.41";"9287.41";"OK";""
"8836";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"13887.85";"13887.85";"OK";""
"8837";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"5785.1";"5785.1";"OK";""
"8838";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"5785.1";"5785.1";"OK";""
"8839";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"13887.85";"13887.85";"OK";""
"8840";"OKINAWA";"USD";"Retenido";"Pendiente";"5344.18";"5344.18";"OK";""
"8841";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"11397.48";"11397.48";"OK";""
"8842";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"17628.01";"17628.01";"OK";""
"8843";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"7908.27";"7908.27";"OK";""
"8844";"OKINAWA";"USD";"Pendiente";"Pendiente";"12383.24";"12383.24";"OK";""
"8845";"CIUDAD DE DIOS BISITO";"USD";"Retenido";"Pendiente";"5995.46";"5995.46";"OK";""
"8846";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"14229.38";"14229.38";"OK";""
"8847";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"14229.73";"14229.73";"OK";""
"8848";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"14236.99";"14236.99";"OK";""
"8849";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8055.26";"8055.26";"OK";""
"8850";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"9302.24";"9302.24";"OK";""
"8851";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"9725.45";"9725.45";"OK";""
"8852";"OKINAWA";"USD";"Pendiente";"Pendiente";"5344.18";"5344.18";"OK";""
"8853";"OKINAWA";"USD";"Pendiente";"Pendiente";"4108.86";"4108.86";"OK";""
