"VENTA";"PROYECTO";"MONEDA";"ESTADO ACTUAL";"ESTADO CALCULADO";"SALDO COMERCIAL";"SALDO CONTABLE";"DIF. SALDOS"
"7971";"PUERTO FUTURO";"USD";"Retenido";"Pendiente";"1678.75";"1678.75";"OK";""
"7972";"PUERTO FUTURO";"USD";"Pagado";"Pendiente";"1527.63";"1527.63";"OK";""
"7973";"PUERTO FUTURO";"USD";"Pagado";"Pendiente";"1532.81";"1532.81";"OK";""
"7974";"PUERTO FUTURO";"USD";"Pagado";"Pendiente";"0";"0";"OK";""
"7975";"PUERTO FUTURO";"USD";"Pagado";"Pendiente";"2022.36";"2022.36";"OK";""
"7976";"RENACER";"USD";"Retenido";"Pendiente";"17213.6";"17213.6";"OK";""
"7977";"RENACER";"USD";"Pendiente";"Pendiente";"8568.24";"8568.24";"OK";""
"7978";"RENACER";"USD";"Pendiente";"Pendiente";"11360.19";"11360.19";"OK";""
"7979";"RENACER";"USD";"Retenido";"Pendiente";"11800";"11800";"OK";""
"7980";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"2050";"2050";"OK";""
"7981";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"1865.64";"1865.64";"OK";""
"7982";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"3252.98";"3252.98";"OK";""
"7983";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"5141.44";"5141.44";"OK";""
"7984";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"2710.45";"2710.45";"OK";""
"7985";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"2458.02";"2458.02";"OK";""
"7986";"PUERTO FUTURO";"USD";"Pagado";"Pendiente";"2791.25";"2791.25";"OK";""
"7987";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"1793.69";"1793.69";"OK";""
"7988";"PUERTO FUTURO";"USD";"Fusionado";"Pendiente";"3736.22";"3736.22";"OK";""
"7989";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"1793.69";"1793.69";"OK";""
"7990";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"2050";"2050";"OK";""
"7991";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"3606.31";"3606.31";"OK";""
"7992";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"3190";"3190";"OK";""
"7993";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"2050";"2050";"OK";""
"7994";"PUERTO FUTURO";"USD";"Pagado";"Pagado";"0";"0";"OK";""
"7995";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"21114.35";"21114.35";"OK";""
"7996";"RENACER";"USD";"Retenido";"Pendiente";"8766.58";"8766.58";"OK";""
"7997";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"32674.01";"32674.01";"OK";""
"7998";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"34589.72";"34589.72";"OK";""
"7999";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"22630.5";"22630.5";"OK";""
"8000";"PUERTO FUTURO";"USD";"Retenido";"Pendiente";"1897.27";"1897.27";"OK";""
"8001";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"2946.84";"2946.84";"OK";""
"8002";"PUERTO FUTURO";"USD";"Retenido";"Pendiente";"1897.27";"1897.27";"OK";""
"8003";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"2050";"2050";"OK";""
"8004";"PUERTO FUTURO";"USD";"Pendiente";"Pendiente";"1688.43";"1688.43";"OK";""
"8005";"PUERTO FUTURO";"USD";"Retenido";"Pendiente";"2243.25";"2243.25";"OK";""
